,imagepath,xmlpath,xmin,xmax,ymin,ymax,width,height,center_x,center_y,bb_width,bb_height
0,/content/drive/MyDrive/dataset/0073797c-a755-4972-b76b-8ef2b31d44ab___new_IMG_20160315_071740.jpg.jpeg,/content/drive/MyDrive/dataset/0073797c-a755-4972-b76b-8ef2b31d44ab___new_IMG_20160315_071740.jpg.xml,140,339,210,260,500,335,0.479,0.7014925373134329,0.398,0.14925373134328357
1,/content/drive/MyDrive/dataset/00b42b2c-f193-4863-b92c-0245cbc816da___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_Nissan-Terrano-Petrol-Review-Images-Black-Front-Angle.jpg,/content/drive/MyDrive/dataset/00b42b2c-f193-4863-b92c-0245cbc816da___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_Nissan-Terrano-Petrol-Review-Images-Black-Front-Angle.xml,184,292,572,648,1280,853,0.1859375,0.7151230949589683,0.084375,0.08909730363423213
2,/content/drive/MyDrive/dataset/018b52e6-e9a1-42c2-8ce7-0617e8c8e021___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_sbtb02_auto1.JPG,/content/drive/MyDrive/dataset/018b52e6-e9a1-42c2-8ce7-0617e8c8e021___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_sbtb02_auto1.xml,327,399,202,227,660,280,0.55,0.7660714285714286,0.10909090909090909,0.08928571428571429
3,/content/drive/MyDrive/dataset/03273806-bb1e-48da-8c8b-a0133a90197a___2014-Skoda-Yeti-Test-Drive.jpg.jpeg,/content/drive/MyDrive/dataset/03273806-bb1e-48da-8c8b-a0133a90197a___2014-Skoda-Yeti-Test-Drive.jpg.xml,185,374,290,339,588,476,0.47534013605442177,0.6607142857142857,0.32142857142857145,0.10294117647058823
4,/content/drive/MyDrive/dataset/0369b20e-b432-4409-90f9-2420877aa386___8151536c79159a1557421da5f27f9f0e.jpg.jpeg,/content/drive/MyDrive/dataset/0369b20e-b432-4409-90f9-2420877aa386___8151536c79159a1557421da5f27f9f0e.jpg.xml,335,453,313,347,480,480,0.8208333333333333,0.6875,0.24583333333333332,0.07083333333333333
5,/content/drive/MyDrive/dataset/07064c2c-2aa3-4419-91a4-92916de8e54c___mahindra-scorpio-old-car-500x500.jpg.jpeg,/content/drive/MyDrive/dataset/07064c2c-2aa3-4419-91a4-92916de8e54c___mahindra-scorpio-old-car-500x500.jpg.xml,205,335,290,353,500,415,0.54,0.7746987951807229,0.26,0.15180722891566265
6,/content/drive/MyDrive/dataset/074d85b8-42ec-4d17-9b8e-9e51ae060243___hqdefault.jpg.jpeg,/content/drive/MyDrive/dataset/074d85b8-42ec-4d17-9b8e-9e51ae060243___hqdefault.jpg.xml,142,316,148,230,480,360,0.47708333333333336,0.525,0.3625,0.22777777777777777
7,/content/drive/MyDrive/dataset/07aaab79-71ee-4ea3-a9e6-640191183947___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_1208484d1392541449-nissan-terrano-official-review-img_20140215_181708.jpg,/content/drive/MyDrive/dataset/07aaab79-71ee-4ea3-a9e6-640191183947___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_1208484d1392541449-nissan-terrano-official-review-img_20140215_181708.xml,1301,1814,1715,1876,2448,2448,0.6362336601307189,0.7334558823529411,0.20955882352941177,0.06576797385620915
8,/content/drive/MyDrive/dataset/07bd977e-d578-49a2-b345-7cee5a4db6bf___new_1031520d1356604430-skoda-rapid-joins-family-edit-sold-wp_000281.jpg.jpeg,/content/drive/MyDrive/dataset/07bd977e-d578-49a2-b345-7cee5a4db6bf___new_1031520d1356604430-skoda-rapid-joins-family-edit-sold-wp_000281.jpg.xml,158,365,204,254,500,358,0.523,0.6396648044692738,0.414,0.13966480446927373
9,/content/drive/MyDrive/dataset/07e787a7-6cc3-482c-9ce5-f0ce115b47f1___new_VW-Polo-GT-TSI-badges-on-the-boot-lid.jpg.jpeg,/content/drive/MyDrive/dataset/07e787a7-6cc3-482c-9ce5-f0ce115b47f1___new_VW-Polo-GT-TSI-badges-on-the-boot-lid.jpg.xml,28,342,29,106,395,147,0.46835443037974683,0.45918367346938777,0.7949367088607595,0.5238095238095238
